3.153583,0,3.772762,1
4.370401,0,5.133737,1
5.829696,0,6.656147,1
7.255737,0,7.972206,1
8.419169,0,9.51693,1
9.880853,0,10.74133,1
11.0965,0,12.00149,1
12.43878,0,13.33892,1
13.87554,0,14.6312,1
15.18521,0,15.98877,1
16.60174,0,17.39705,1
18.05975,0,18.69153,1
19.4432,0,20.17244,1
20.90107,0,21.41951,1
21.94297,0,22.73071,1
23.36591,0,24.07331,1
24.75831,0,25.46109,1
26.17524,0,26.85777,1
27.55357,0,28.22899,1
28.93369,0,29.62824,1
30.2998,0,30.99751,1
31.7172,0,32.41726,1
33.1206,0,33.75269,1
34.36566,0,35.02127,1
35.76678,0,36.43938,1
37.11948,0,37.74894,1
39.81969,0,40.42891,1
41.19942,0,41.9288,1
42.45893,0,43.22409,1
43.9861,0,44.65939,1
